key,ko,en,fr
HOME_TITLE,Meet Connect Play With,Meet Connect Play With,Meet Connect Play With
HOME_TITLE1,KLUBS \n NFT\n Exhibition,KLUBS \n NFT\n Exhibition,
HOME_TITLE2,NFT Exhibition,NFT Exhibition,
HOME_DESC1,유니버스와 메타버스\n한국과 프랑스를 잇는 NFT 전시 [연등회],The Universe and the Metaverse\n[Yeondeunghoe] an NFT exhibition connecting Korea and France,
HOME_DESC2,"[전시 기간]\nKLUBS 크립토복셀 갤러리 : 5월 24일 - 9월 16일\n프랑스 한국 문화원 : 5월 24일 - 9월 16일\n파리 이함 갤러리 : 6월 10일 - 6월 24일\n\n[전시 장소]\nKLUBS 크립토복셀 갤러리 : https://crypto-gallary.klu.bs\n프랑스 한국 문화원 : 20 Rue la Boétie, 75008 Paris\n파리 이함 갤러리 : 46 Bd Henri IV, 75004 Paris","[Exhibition Dates]\nKLUBS Cryptovoxels Gallery : May 24 - Sep 16\nKorean Cultural Center Paris : May 24 - Sep 16\nGalerie IHAM Paris : June 10 - June 24\n\n[Locations]\nKLUBS Cryptovoxels Gallery : https://crypto-gallary.klu.bs\nKorean Cultural Center Paris : 20 Rue la Boétie, 75008 Paris\nGalerie IHAM Paris : 46 Bd Henri IV, 75004 Paris",
HOME_DESC3,"등불을 밝혀 세상을 비추는 한국의 전통 행사 [연등회]가 유네스코 인류무형문화유산 등재를 기념하여 한국관광문화대전 Taste Korea! 2022년 테마로 선정되었습니다. 전시, 공연, 상영회, 컨퍼런스, 체험 프로그램 등 다양한 특별행사가 개최되며 주프랑스 한국문화원, 유네스코, 르코르동 블루 요리학교, 프랑스 상원 등 다양한 프랑스의 기관과 함께 진행됩니다. 한국 포털 마켓플레이스 KLUBS는 NFT 전시를 기획하게 되었습니다.\n\n[연등회]를 주제로 한 이번 전시는 한국 문화원 최초로 이루어지는 NFT전시로  국내외 NFT 예술시장에서 활발히 이름을 펼치고 있는 25명의 한국 NFT 아티스트와 6명의 프랑스 아티스트가 참여하였습니다. 아름답고 매력적인 작품들로 채워진 전시는 KLUBS 크립토 복셀 갤러리에서 온라인으로 만나실 수 있습니다. 또한 프랑스 한국 문화원 0층 미디어 전시실과 파리 바스티유에 위치한 NFT 전문 갤러리 이함 갤러리에서 각 작가의 작품을 조명한 오프라인 전시가 함께 진행됩니다.\n\n[참여 작가]\nAlbertine Meunier / ARThief / Biptosy / BOOYASAN / Bosul KIM / CS LIM / Chrales Jang / Einzed / Grida / Hwaji / HyeGyung KIM / Hyekang / Hyunjinery / Jean-yves Le Moine / Joy Jo / Jungwoowon / LAYLAY / LOIE / Lindsayking / Maison Clone / MILDMESS / MO Junseok / Mr.Misang / NAKTA / Regina Kim / SOO. / ShinyTiger / Suk / Sungsu YIM / Sunjae LEE / Uttermelon","Yeondeunghoe, a Korean traditional festival during which lotus lanterns are lit around the world, has been listed as a UNESCO intangible cultural heritage.  To commemorate this occasion, Yeondeunghoe has been selected as this year's theme of ""Taste Korea! 2022"" Korean Tradition & Tourism Festival.  Special events such as exhibitions, shows, screenings, conferences, and hands-on experience programs are to be hosted by numerous institutions in France including Korean Cultural Center Paris, UNESCO, Le Cordon Bleu, and the Senate of France.  The NFT exhibition is brought to you by South Korean portal and marketplace KLUBS.\n\nThis exhibition, built around the theme of Yeondeunghoe, is the first NFT exhibition hosted by Korean Cultural Center.  It showcases 25 South Korean and 6 French artists, whose illustrious careers are celebrated in the global art scene.  Their alluring works will be displayed in the metaverse at the KLUBS Cryptovoxels Gallery.  Each of their works will also be spotlighted offline simultaneously in Korean Cultural Center's Media Room and at NFT Galerie IHAM near Bastille.\n\n[Participating Artists]\nAlbertine Meunier / ARThief / Biptosy / BOOYASAN / Bosul KIM / CS LIM / Chrales Jang / Einzed / Grida / Hwaji / HyeGyung KIM / Hyekang / Hyunjinery / Jean-yves Le Moine / Joy Jo / Jungwoowon / LAYLAY / LOIE / Lindsayking / Maison Clone / MILDMESS / MO Junseok / Mr.Misang / NAKTA / Regina Kim / SOO. / ShinyTiger / Suk / Sungsu YIM / Sunjae LEE / Uttermelon",
ARTISTS_TITLE,Artists,Artists,
ARTISTS_TITLE1,어터멜론,Uttermelon,
ARTISTS_TITLE2,수.,SOO.,
ARTISTS_TITLE3,아트띠프,ARThief,
